C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_chem_eq_co2.py:ChemEqTestCase.test_set_total_tp ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_chem_eq_janaf.py:ChemEqTestCase.test_set_total_tp ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_props_rhs_co2.py:PropsCalcsTestCase.test_total_calcs ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_props_rhs_co2.py:PropsRHSTestCase.test_total_rhs ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_species_data.py:SpeciesDataTestCase.test_element_filter ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_species_data.py:SpeciesDataTestCase.test_errors ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_species_data.py:SpeciesDataTestCase.test_values ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_thermo_add_cea.py:ThermoAddTestCase.test_mix_1flow ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_thermo_add_cea.py:ThermoAddTestCase.test_mix_1fuel ... OK (00:00:0.02, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_thermo_add_cea.py:ThermoAddTestCase.test_mix_2flow ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_thermo_add_cea.py:ThermoAddTestCase.test_mix_2fuel ... OK (00:00:0.02, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\cea\test\test_thermo_add_cea.py:ThermoAddTestCase.test_war_vals ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_tab_thermo.py:TabThermoUnitTest.test_tab_thermo ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_1flow ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_1flow2compo ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_1fuel ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_1fuel2compo ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_1water2compo ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_2flow ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\tabular\test\test_thermo_add.py:ThermoAddTestCase.test_mix_2fuel ... OK (00:00:0.00, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:SetTotalSimpleTestCase.test_set_total_SP ... OK (00:00:0.39, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:SetTotalSimpleTestCase.test_set_total_TP ... OK (00:00:0.10, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:SetTotalSimpleTestCase.test_set_total_hP ... OK (00:00:0.27, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:TestSetTotalJanaf.test_set_total_equivalence ... OK (00:00:0.73, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:TestStaticJanaf.test_case_MN ... OK (00:00:0.98, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:TestStaticJanaf.test_case_Ps ... OK (00:00:0.98, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_cea.py:TestStaticJanaf.test_case_area ... OK (00:00:1.32, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_tabulated.py:SetTotalSimpleTestCase.test_set_total_SP ... OK (00:00:0.07, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_tabulated.py:SetTotalSimpleTestCase.test_set_total_TP ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_tabulated.py:SetTotalSimpleTestCase.test_set_total_hP ... OK (00:00:0.07, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\thermo\test\test_thermo_total_static_tabulated.py:TestSetTotalTabular.test_set_total_equivalence ... OK (00:00:0.18, 0 MB)
