point,mach,altitude_ft,W_lbm_s,Fn_lbf,Fg_lbf,ram_drag_lbf,OPR,TSFC,T4_degR,FAR,Nmech_rpm
DESIGN,1e-06,0.0,147.3334284214089,11799.998363827002,11800.00347659433,0.005112767326741481,13.5,0.798516514567976,2370.0,0.01776487082234629,8070.0
OD0,1e-06,0.0,142.7867033136273,10999.999441998383,11000.004396985172,0.004954986788924558,12.85884295264816,0.7836368124288268,2292.998985918766,0.016769388456510367,7943.933208948242
OD1,0.2,5000.0,119.1209982739225,7999.998176793222,8812.477752428014,812.4795756347922,12.20281439468391,0.8295110403054647,2171.346261530179,0.015474664198194696,7700.221731527052
